Marca temporal	"Parte 1:
1. Género"	2. Edad: 	3. Año actual cursando en la carrera de Ingeniería en Sistemas:	4. ¿Trabaja o ha trabajado en un área relacionada con la ingeniería en sistemas?																																																																																														5.En qué área de ingeniería en sistemas trabaja actualmente.	6. Cuánto tiempo ha trabajado en esta área	 La organización en la que ha trabajado o está trabajando es:	Cuál es su rango salarial actual	De continuar en su área cuánto espera ser su próximo rango salarial.	Planea continuar especializándose en su área.	 Los rangos salariales de esta otra especialidad son un motivador para cambiar de área de especialización	En qué otras área planea especializarse.	¿Ha seleccionado ya su especialidad dentro de la Ingeniería en Sistemas?	Ha seleccionado su especialidad, indique cual es	Amigos	Familiares	Relaciones Sociales	Entorno Laboral	Compañeros de la carrera	Maestros	Alguna persona en internet	Situación financiera actual	Expectativa de una mejor situación financiera	Salarios del área de especialización	Costos de los estudios en esa área de especialización	¿Qué factores influyeron o cree que seran determinantes en su decisión? Marque todas las opciones que apliquen	Considera que las oportunidades laborales son un factor determinante al momento de elegir su especialidad	Considera que las expectativas salariales son un factor determinante en su decisión de especialidad
8/13/2023 21:55:51	Hombre	22-25 años	Quinto año	Sí																																																																																														Desarrollo Backend	6 meses  a 1 año	Privada	L15,000-L25,000	L25,000-L35,000	Sí	Si	Ciberseguridad, Desarrollo Backend, Desarrollo móvil, Administración de bases de datos	Si	Desarrollo Backend	1	1	1	3	2	3	2	5	5	5	5	Oportunidades laborales, Perspectivas futuras en el campo, Gusto o interés personal, Aptitudes y habilidades específicas	Si	Si
8/13/2023 21:56:38	Hombre	22-25 años	Tercer año	No																																																																																																						Si	Desarrollo Front-end	1	1	2	5	1	3	5	5	5	5	5	Oportunidades laborales, Perspectivas futuras en el campo, Gusto o interés personal	Si	Si
8/13/2023 21:56:58	Mujer	22-25 años	Quinto año	Sí																																																																																														Ciberseguridad	1 año a 3 años	Privada	L15,000-L25,000	L25,000-L35,000	Sí	Si	Ciberseguridad, Project Management, Analista de datos	Si	Ciberseguridad	4	5	2	4	2	3	1	4	4	4	5	Oportunidades laborales, Perspectivas futuras en el campo, Gusto o interés personal, Aptitudes y habilidades específicas	Si	Si
8/13/2023 22:09:38	Mujer	22-25 años	Quinto año	No																																																																																																						No		3	4	4	4	4	3	4	4	5	5	5	Oportunidades laborales, Gusto o interés personal, Aptitudes y habilidades específicas, Recomendaciones de profesores o mentores	Si	Si
8/13/2023 22:26:13	Hombre	Mayor de 25 años	Quinto año	No																																																																																																						Si	Desarrollo Front-end	4	1	1	1	4	4	4	1	5	3	5	Oportunidades laborales, Perspectivas futuras en el campo, Gusto o interés personal	Si	Si
8/13/2023 22:33:11	Hombre	22-25 años	Tercer año	No																																																																																																						No		4	2	2	2	4	3	3	4	5	4	3	Oportunidades laborales, Perspectivas futuras en el campo, Gusto o interés personal	Si	Si
8/13/2023 22:55:06	Hombre	22-25 años	Cuarto año	Sí																																																																																														Desarrollo Front-end	Menos de 6 meses	Privada	L15,000-L25,000	L25,000-L35,000	Sí	Si	Desarrollo Backend, Analista de datos, Diseñador, Desarrollo Front-end	Si	Desarrollo Front-end	1	1	1	4	1	1	1	4	3	3	1	Oportunidades laborales, Gusto o interés personal, Aptitudes y habilidades específicas	Si	Si
8/13/2023 22:56:25	Hombre	22-25 años	Quinto año	Sí																																																																																														Full stack	Menos de 6 meses	Privada	L15,000-L25,000	L25,000-L35,000	Sí	Si	Ciberseguridad	Si	Ciberseguridad	4	4	4	4	4	4	5	4	5	5	5	Oportunidades laborales, Perspectivas futuras en el campo, Gusto o interés personal, Aptitudes y habilidades específicas	Si	Si
8/13/2023 23:49:38	Hombre	20-22 años	Quinto año	No																																																																																																						No		4	3	4	4	4	3	4	4	4	4	4	Oportunidades laborales, Perspectivas futuras en el campo, Gusto o interés personal, Aptitudes y habilidades específicas, Recomendaciones de profesores o mentores	Si	Si
8/15/2023 10:19:56	Hombre	22-25 años	Quinto año	Sí																																																																																														Desarrollo Backend	6 meses  a 1 año	Pública	L25,000-L35,000	L45,000-L60,000	Sí	Si	Desarrollo Backend	Si	Desarrollo Backend	1	1	1	3	1	1	1	3	5	5	4	Oportunidades laborales, Perspectivas futuras en el campo, Gusto o interés personal, Aptitudes y habilidades específicas	Si	Si
